,,,,,,,,,
,,,,,,,,,
,,,,,,Age,Gender,Income,Location
,,,,,,38,m,59,urban
,,,,,,26,m,66,suburban
,,,,,,34,m,80,suburban
,,,,,,31,f,70,suburban
,,,,,,32,m,73,suburban
,,,,,,27,m,74,suburban
,,,,,,33,m,150,suburban
,,,,,,54,f,65,suburban
,,,,,,32,m,89,suburban
,,,,,,30,m,87,rural
,,,,,,37,m,70,urban
,,,,,,50,m,55,suburban
,,,,,,18,m,112,urban
,,,,,,36,f,94,suburban
,,,,,,38,m,73,rural
,,,,,,25,f,105,urban
,,,,,,35,m,81,suburban
,,,,,,8,m,57,suburban
,,,,,,29,m,57,urban
,,,,,,35,m,106,rural
,,,,,,17,m,71,suburban
,,,,,,29,m,80,suburban
,,,,,,69,m,175,suburban
,,,,,,31,f,92,urban
,,,,,,37,m,77,urban
,,,,,,31,m,33,urban
,,,,,,62,m,98,suburban
,,,,,,64,m,61,suburban
,,,,,,29,m,68,suburban
,,,,,,41,m,56,suburban
,,,,,,31,m,84,suburban
,,,,,,59,m,139,suburban
,,,,,,15,m,77,rural
,,,,,,45,f,94,suburban
,,,,,,25,m,103,urban
,,,,,,42,m,74,rural
,,,,,,42,m,94,urban
,,,,,,17,m,59,rural
,,,,,,26,m,54,suburban
,,,,,,25,m,94,suburban
,,,,,,19,m,76,suburban
,,,,,,34,f,96,urban
,,,,,,31,m,109,urban
,,,,,,23,m,106,urban
,,,,,,24,m,156,suburban
,,,,,,40,m,63,urban
,,,,,,30,m,108,suburban
,,,,,,27,m,50,urban
,,,,,,32,m,80,suburban
,,,,,,12,m,119,rural
,,,,,,47,m,68,suburban
,,,,,,33,m,70,suburban
,,,,,,26,f,78,urban
,,,,,,35,m,59,suburban
,,,,,,23,m,62,urban
,,,,,,20,m,66,urban
,,,,,,35,m,82,suburban
,,,,,,22,m,131,urban
,,,,,,21,f,90,urban
,,,,,,20,m,51,suburban
,,,,,,51,f,70,urban
,,,,,,48,m,99,urban
,,,,,,33,m,55,urban
,,,,,,113,m,203,suburban
,,,,,,27,m,86,suburban
,,,,,,26,f,107,rural
,,,,,,27,m,73,suburban
,,,,,,32,m,50,urban
,,,,,,25,m,84,urban
,,,,,,38,m,58,suburban
,,,,,,32,m,60,urban
,,,,,,24,m,62,rural
,,,,,,23,m,92,urban
,,,,,,38,m,83,urban
,,,,,,20,m,70,urban
,,,,,,46,m,79,suburban
,,,,,,40,m,111,suburban
,,,,,,23,m,57,urban
,,,,,,37,m,131,urban
,,,,,,12,m,78,urban
,,,,,,42,m,134,suburban
,,,,,,34,m,76,suburban
,,,,,,53,m,92,urban
,,,,,,25,f,50,urban
,,,,,,22,m,57,suburban
,,,,,,37,f,105,suburban
,,,,,,31,m,95,suburban
,,,,,,38,f,112,urban
,,,,,,36,m,43,suburban
,,,,,,40,m,58,suburban
,,,,,,32,m,113,suburban
,,,,,,14,f,48,urban
,,,,,,40,m,70,suburban
,,,,,,48,m,46,urban
,,,,,,44,m,93,rural
,,,,,,29,m,81,urban
,,,,,,39,m,93,suburban
,,,,,,25,m,74,suburban
,,,,,,39,m,66,suburban
,,,,,,23,m,165,urban
,,,,,,32,f,137,suburban
,,,,,,19,f,106,urban
,,,,,,29,m,91,urban
,,,,,,54,m,39,urban
,,,,,,56,f,50,rural
,,,,,,65,f,57,suburban
,,,,,,46,m,88,urban
,,,,,,71,m,82,rural
,,,,,,31,m,70,suburban
,,,,,,15,m,65,rural
,,,,,,26,m,120,suburban
,,,,,,114,m,103,suburban
,,,,,,33,m,95,urban
,,,,,,25,m,77,suburban
,,,,,,28,m,74,urban
,,,,,,40,m,68,suburban
,,,,,,23,m,86,suburban
,,,,,,28,m,62,suburban
,,,,,,22,m,88,suburban
,,,,,,39,m,84,rural
,,,,,,46,m,52,suburban
,,,,,,57,m,45,urban
,,,,,,21,m,128,urban
